opponent_school,opponent,score,result,date
University of Texas at Austin,Pierre Bailly,4-6 4-6,L,05/15/25
University of Southern California,Oscar Weightman,6-2 3-6 6-2,W,05/08/25
"University of California, Berkeley",Theodore Dean,4-6 6-3 7-6(4),W,05/02/25
"University of California, Santa Barbara",Lucca Liu,6-3 6-2,W,05/01/25
The Ohio State University,William Jansen,6-2 7-5,W,04/26/25
Michigan State University,Max Sheldon,6-4 6-1,W,04/25/25
University of Michigan,Patorn Hanchaikul,6-3 6-1,W,04/24/25
University of Nebraska-Lincoln,Nikolay Sysoev,6-7(7) 6-1 7-6(6),W,04/19/25
University of Wisconsin-Madison,Edouard Aubert,7-5 6-1,W,04/17/25
Michigan State University,Matthew Forbes,6-3 5-4,UF,04/12/25
University of Michigan,Patorn Hanchaikul,6-3 3-6 1-0,UF,04/10/25
Pennsylvania State University,Marcus Schoeman,6-4 6-2,W,04/05/25
Ohio State University,William Jansen,3-6 6-7(7),L,04/03/25
University of Southern California,Nathan Trouve,6-1 0-6 1-6,L,03/31/25
University of Washington,Soham Purohit,5-7 6-1,UF,03/29/25
